transaction_id,sender_account,receiver_account,amount,timestamp,sender_ip,receiver_ip
tx001,ACC0001,ACC0002,1200.50,2026-08-01T09:15:00Z,10.0.1.5,10.0.2.9
tx002,ACC0002,ACC0003,340.00,2026-08-01T09:20:00Z,10.0.2.9,10.0.3.4
tx003,SMURF001,SHELL01,9800.00,2026-08-01T09:22:00Z,185.220.101.7,45.33.12.99
tx004,SMURF002,SHELL01,9750.00,2026-08-01T09:23:00Z,185.220.101.7,45.33.12.99
tx005,SMURF003,SHELL01,9600.00,2026-08-01T09:24:00Z,185.220.101.7,45.33.12.99
tx006,SMURF004,SHELL01,9900.00,2026-08-01T09:25:00Z,185.220.101.7,45.33.12.99
tx007,SMURF005,SHELL01,9550.00,2026-08-01T09:26:00Z,185.220.101.7,45.33.12.99
tx008,SMURF006,SHELL01,9700.00,2026-08-01T09:27:00Z,185.220.101.7,45.33.12.99
tx009,SMURF007,SHELL01,9650.00,2026-08-01T09:28:00Z,185.220.101.7,45.33.12.99
tx010,SMURF008,SHELL01,9800.00,2026-08-01T09:29:00Z,185.220.101.7,45.33.12.99
